project_id,domain,methodology,team_location,vendor_contract_type,planned_budget_lakhs,planned_duration_days,team_size,team_experience_years_avg,tech_complexity,requirements_changes,open_bugs_count,vendor_dependency,stakeholder_count,offshore_ratio,sprint_length_days,story_points_planned,completed_rate,issue_churn_rate,reopens_rate,dependency_count,overdue_tasks_pct,requirements_clarity,risk_register_count,past_similar_success_rate,buffer_days,schedule_slippage_pct,cost_variance_pct,risk,risk_level
P1601,Telecom,Agile,Distributed,T&M,44.9,275,13,6.87,5,12,14,0,6,0.517,14,185,0.698,0.227,0.197,7,0.272,1,7,0.691,3,30.1,24.17,1,High
P1008,Fintech,Waterfall,Hybrid,Fixed Bid,13.04,509,9,4.64,5,5,14,0,7,0.286,0,0,0.967,0.5,0.123,0,0.236,1,12,0.324,8,25.67,12.89,1,High
P1274,Telecom,Agile,Distributed,Fixed Bid,20.41,467,14,6.47,2,15,8,1,7,0.207,7,278,1.046,0.153,0.153,15,0.095,5,3,0.324,0,2.82,11.0,0,Low
P1035,Healthcare,Hybrid,Co-located,Managed Services,65.9,369,15,3.77,1,15,10,1,9,0.13,0,0,1.043,0.217,0.28,2,0.0,5,0,0.464,16,4.77,2.42,0,Low
P1084,Retail,Agile,Co-located,T&M,35.65,441,14,7.03,5,12,15,0,12,0.509,14,162,0.8,0.045,0.101,0,0.0,1,7,0.775,13,23.66,6.59,1,High
P1044,Healthcare,Agile,Distributed,T&M,31.03,501,14,6.2,5,23,14,0,10,0.492,14,134,0.982,0.383,0.034,13,0.133,2,7,0.229,11,31.88,8.9,1,High
P1667,Fintech,Agile,Hybrid,Fixed Bid,28.88,253,12,5.18,4,15,10,1,13,0.329,7,144,0.89,0.478,0.081,3,0.198,2,5,0.278,6,30.66,17.65,1,High
P1016,Retail,Agile,Co-located,T&M,78.06,378,13,5.79,1,15,2,0,6,0.058,7,204,0.768,0.384,0.125,11,0.2,5,0,0.45,0,0.0,-3.46,0,Low
P1426,Retail,Agile,Distributed,Fixed Bid,62.0,421,12,5.48,5,17,13,0,4,0.261,7,214,0.868,0.5,0.086,4,0.083,2,8,0.299,7,24.23,18.71,1,High
P1114,Government,Waterfall,Hybrid,T&M,14.16,137,11,4.38,3,10,10,0,13,0.042,0,0,0.907,0.082,0.166,0,0.117,2,5,0.627,6,9.97,4.9,0,Low
P1314,Fintech,Hybrid,Distributed,Fixed Bid,79.98,402,10,6.82,2,12,5,0,14,0.477,0,0,0.987,0.022,0.199,9,0.146,4,2,0.804,6,4.78,3.71,0,Low
P1509,E-commerce,Waterfall,Distributed,Fixed Bid,16.62,436,11,7.2,1,14,5,1,4,0.203,0,0,0.896,0.159,0.4,12,0.027,5,2,0.813,0,0.0,9.72,0,Low
P1636,Government,Agile,Co-located,T&M,18.16,496,18,6.56,2,13,4,1,15,0.632,7,375,0.686,0.237,0.4,13,0.01,4,4,0.765,7,0.97,4.82,0,Low
P1409,Healthcare,Agile,Co-located,T&M,12.43,483,16,7.18,5,25,13,0,5,0.234,7,352,0.846,0.132,0.091,4,0.171,1,5,0.631,0,18.9,19.41,1,High
P1144,Government,Agile,Co-located,Managed Services,36.46,194,11,3.55,1,11,5,0,4,0.34,14,390,0.982,0.29,0.4,0,0.112,5,3,0.436,1,6.41,2.42,0,Low
P1273,E-commerce,Hybrid,Distributed,T&M,29.91,353,16,4.82,1,7,7,0,12,0.184,0,0,0.968,0.267,0.082,3,0.263,5,1,0.829,12,0.0,-0.7,0,Low
P1347,E-commerce,Agile,Co-located,Managed Services,28.12,253,9,4.13,2,17,10,1,11,0.469,7,112,0.704,0.5,0.16,2,0.162,3,3,0.401,8,13.58,8.95,1,Medium
P1702,Fintech,Agile,Co-located,T&M,73.86,538,13,2.67,1,12,4,1,16,0.363,14,296,0.773,0.204,0.4,4,0.099,5,2,0.654,5,0.0,3.67,0,Low
P1875,Healthcare,Agile,Distributed,T&M,12.49,475,19,2.73,1,15,7,0,7,0.603,14,107,0.724,0.126,0.249,6,0.024,5,2,0.795,10,1.96,-2.07,0,Low
P1783,Fintech,Agile,Distributed,T&M,26.56,381,10,2.83,4,9,11,0,9,0.576,7,386,0.994,0.421,0.247,0,0.097,2,4,0.348,14,29.19,10.74,1,High
P1467,E-commerce,Hybrid,Distributed,Fixed Bid,40.57,468,15,6.25,2,15,3,1,4,0.645,0,0,0.987,0.344,0.309,1,0.0,4,4,0.859,18,1.28,2.5,0,Low
P1933,E-commerce,Agile,Distributed,Fixed Bid,30.55,192,13,7.43,4,14,5,1,4,0.765,14,329,0.754,0.074,0.145,5,0.085,2,2,0.363,5,16.16,13.53,1,High
P1018,Fintech,Agile,Co-located,T&M,40.25,422,16,4.59,5,16,13,0,5,0.307,7,316,0.906,0.218,0.193,7,0.169,1,5,0.834,10,14.31,20.57,1,High
P1392,Retail,Agile,Distributed,T&M,47.71,445,15,3.72,5,18,11,1,6,0.68,14,239,0.645,0.338,0.4,10,0.195,1,8,0.429,9,28.65,28.59,1,High
P1058,Retail,Agile,Distributed,Managed Services,54.32,393,14,6.85,2,21,6,0,10,0.587,7,339,0.888,0.5,0.079,1,0.247,5,1,0.62,18,0.0,-9.16,0,Low
P1686,E-commerce,Waterfall,Distributed,Fixed Bid,36.11,451,17,8.23,1,5,2,1,11,0.438,0,0,0.96,0.455,0.236,8,0.231,4,4,0.836,3,0.8,3.48,0,Low
P1612,Government,Waterfall,Co-located,T&M,44.77,523,18,6.85,1,7,2,1,16,0.479,0,0,0.976,0.5,0.23,15,0.008,5,1,0.478,19,0.0,-8.35,0,Low
P1004,Fintech,Agile,Distributed,Fixed Bid,34.25,397,10,5.99,4,18,11,0,8,0.399,7,106,0.737,0.311,0.266,0,0.0,3,9,0.72,14,19.97,15.08,1,Medium
P1194,Retail,Agile,Hybrid,Managed Services,51.38,327,21,8.84,2,11,6,1,12,0.447,7,131,1.108,0.242,0.118,15,0.246,3,2,0.63,5,6.71,-7.61,0,Low
P1524,Telecom,Hybrid,Co-located,T&M,160.79,351,15,4.0,2,8,8,1,8,0.138,0,0,0.863,0.428,0.4,15,0.092,3,2,0.884,2,17.86,11.79,1,Medium
P1541,Retail,Waterfall,Hybrid,Fixed Bid,13.88,164,16,3.62,5,4,13,0,3,0.378,0,0,0.881,0.069,0.304,14,0.125,2,5,0.716,12,30.86,19.04,1,High
P1319,Government,Agile,Hybrid,Fixed Bid,26.11,291,15,5.24,3,13,15,1,7,0.839,14,260,0.952,0.5,0.4,4,0.24,2,6,0.406,13,24.26,8.03,1,High
P1435,Retail,Waterfall,Co-located,T&M,129.94,202,7,5.98,4,5,7,0,11,0.549,0,0,0.699,0.351,0.4,15,0.224,1,7,0.672,15,26.11,20.08,1,High
P1557,E-commerce,Agile,Hybrid,T&M,105.76,293,14,7.54,3,16,13,0,4,0.163,14,198,0.797,0.194,0.156,6,0.007,4,4,0.725,17,1.91,6.46,0,Low
P1238,Healthcare,Waterfall,Co-located,T&M,22.07,519,14,8.9,4,13,14,0,12,0.803,0,0,0.926,0.283,0.307,15,0.0,2,4,0.547,6,23.07,20.44,1,Medium
P1371,Telecom,Agile,Co-located,T&M,66.45,93,16,3.92,4,19,9,0,10,0.607,14,291,0.914,0.309,0.068,10,0.287,3,4,0.202,7,26.06,17.6,1,High
P1309,Retail,Agile,Co-located,Managed Services,20.68,285,19,3.4,4,15,8,1,19,0.352,7,109,0.741,0.5,0.183,13,0.1,1,1,0.921,16,28.69,18.49,1,High
P1624,Retail,Waterfall,Co-located,Managed Services,40.6,364,13,4.1,5,10,15,0,18,0.332,0,0,0.953,0.091,0.194,3,0.163,1,7,0.679,9,20.1,20.31,1,High
P1721,Retail,Agile,Hybrid,T&M,53.06,167,14,8.2,2,14,9,0,17,0.173,14,246,0.714,0.126,0.237,13,0.177,3,4,0.842,19,0.0,-2.06,0,Low
P1696,E-commerce,Agile,Co-located,T&M,21.43,324,13,6.96,2,14,6,1,9,0.432,7,391,0.792,0.234,0.198,7,0.109,3,8,0.885,11,6.96,8.96,0,Low
P1664,Telecom,Agile,Co-located,Fixed Bid,10.93,176,17,4.94,1,13,4,1,18,0.615,7,99,0.845,0.334,0.266,0,0.067,5,3,0.513,0,10.84,6.16,0,Low
P1955,Telecom,Agile,Co-located,T&M,17.9,178,16,1.9,3,11,11,0,18,0.501,7,85,0.841,0.5,0.02,7,0.198,3,2,0.42,15,13.66,12.81,1,High
P1500,Fintech,Waterfall,Distributed,T&M,37.0,130,15,8.65,3,11,2,0,7,0.643,0,0,0.915,0.015,0.087,8,0.212,3,2,0.769,23,11.24,3.22,0,Low
P1466,Telecom,Agile,Distributed,Fixed Bid,31.41,421,13,4.96,4,19,9,0,5,0.043,14,362,0.636,0.283,0.319,15,0.198,3,7,0.852,3,30.64,15.78,1,High
P1614,Fintech,Hybrid,Distributed,Fixed Bid,24.59,537,18,3.76,4,19,6,0,6,0.46,0,0,0.941,0.124,0.066,10,0.061,1,4,0.95,4,33.81,23.48,1,High
P1397,Retail,Agile,Distributed,Fixed Bid,12.77,136,11,3.6,1,17,4,0,9,0.293,7,390,0.91,0.311,0.309,12,0.367,4,3,0.805,10,0.0,-0.17,0,Low
P1793,E-commerce,Waterfall,Distributed,Fixed Bid,97.9,388,17,2.27,1,7,7,1,12,0.255,0,0,0.845,0.367,0.213,9,0.024,5,2,0.721,11,7.39,-1.01,0,Low
P1819,Retail,Agile,Co-located,T&M,37.82,263,16,8.2,4,14,5,0,15,0.383,14,318,0.74,0.443,0.23,14,0.0,2,5,0.436,8,4.93,9.08,0,Low
P1038,E-commerce,Waterfall,Co-located,T&M,18.59,108,13,6.18,5,9,16,1,14,0.085,0,0,0.794,0.117,0.4,10,0.039,1,6,0.517,13,27.19,29.25,1,High
P1651,Retail,Agile,Distributed,Fixed Bid,22.77,461,15,3.65,4,13,10,0,9,0.285,14,378,0.846,0.086,0.115,8,0.201,1,8,0.794,17,18.95,28.68,1,High
P1581,Government,Hybrid,Distributed,T&M,36.83,516,13,4.81,2,7,6,0,3,0.496,0,0,0.974,0.395,0.108,5,0.051,5,1,0.292,4,6.25,-1.08,0,Low
P1769,Telecom,Hybrid,Co-located,Managed Services,33.7,168,18,5.16,2,15,4,0,18,0.249,0,0,1.1,0.231,0.095,6,0.164,4,1,0.646,1,0.0,4.53,0,Low
P1774,Retail,Waterfall,Co-located,T&M,68.16,427,19,3.09,5,12,6,1,8,0.497,0,0,0.848,0.335,0.249,0,0.0,1,9,0.854,9,31.11,23.51,1,High
P1568,E-commerce,Hybrid,Distributed,T&M,23.98,233,18,4.77,1,16,4,1,18,0.627,0,0,0.981,0.28,0.082,13,0.146,5,4,0.343,12,0.28,5.34,0,Low
P1852,Healthcare,Agile,Hybrid,T&M,36.22,273,10,5.63,1,25,6,1,18,0.352,7,292,1.056,0.179,0.243,8,0.252,4,3,0.946,0,5.56,6.39,0,Low
P1387,Telecom,Agile,Co-located,T&M,39.1,438,16,4.55,1,10,5,0,6,0.637,14,208,0.96,0.154,0.274,12,0.108,5,1,0.426,7,3.27,4.95,0,Low
P1737,Telecom,Hybrid,Co-located,Fixed Bid,13.78,431,18,6.78,2,14,11,0,7,0.312,0,0,0.985,0.258,0.167,12,0.147,4,2,0.594,3,3.77,8.04,0,Low
P1692,Government,Agile,Hybrid,T&M,45.31,144,20,5.35,2,19,8,0,3,0.508,7,308,0.811,0.207,0.309,5,0.089,5,1,0.694,10,0.0,6.51,0,Low
P1365,Retail,Agile,Co-located,T&M,61.68,310,16,7.47,5,22,11,1,3,0.14,14,231,1.013,0.5,0.327,14,0.142,1,7,0.943,13,31.29,16.87,1,High
P1966,Telecom,Waterfall,Hybrid,T&M,17.01,385,9,3.22,2,8,9,0,13,0.131,0,0,0.853,0.238,0.139,4,0.135,4,1,0.154,7,15.12,7.41,0,Low
P1174,Healthcare,Waterfall,Distributed,T&M,36.3,178,25,2.98,1,5,2,1,11,0.22,0,0,0.893,0.301,0.083,13,0.0,5,2,0.792,8,9.38,3.11,0,Low
P1241,Healthcare,Hybrid,Distributed,T&M,24.48,299,14,9.58,2,19,6,0,12,0.263,0,0,0.922,0.082,0.022,14,0.256,4,7,0.473,9,0.0,-10.0,0,Low
P1499,Government,Hybrid,Distributed,Fixed Bid,57.5,92,13,2.57,4,17,12,1,6,0.505,0,0,0.89,0.37,0.4,12,0.077,3,11,0.776,14,28.7,21.15,1,High
P1863,Government,Agile,Co-located,T&M,25.22,69,17,4.75,1,11,4,0,5,0.639,7,91,0.671,0.5,0.245,13,0.341,4,1,0.82,8,0.0,0.39,0,Low
P1104,E-commerce,Hybrid,Distributed,T&M,11.63,143,13,4.29,2,8,6,1,10,0.274,0,0,0.825,0.313,0.068,0,0.075,3,7,0.476,5,3.79,6.67,0,Low
P1780,Healthcare,Waterfall,Co-located,Managed Services,55.0,146,10,8.42,2,8,7,0,17,0.457,0,0,0.761,0.204,0.122,9,0.159,4,7,0.849,5,0.0,1.6,0,Low
P1873,Healthcare,Agile,Co-located,T&M,39.56,427,14,6.1,3,19,5,0,11,0.178,7,83,1.026,0.274,0.218,12,0.196,4,5,0.911,5,0.0,3.89,0,Low
P1861,Fintech,Agile,Distributed,T&M,53.76,168,9,5.78,1,16,6,0,19,0.4,14,373,0.845,0.182,0.277,6,0.266,5,5,0.724,16,0.0,7.08,0,Low
P1261,Healthcare,Hybrid,Distributed,T&M,20.8,248,15,3.3,4,16,12,1,17,0.328,0,0,0.87,0.461,0.02,15,0.073,1,8,0.814,11,35.76,8.62,1,High
P1421,Fintech,Waterfall,Co-located,Fixed Bid,63.43,228,14,2.94,5,3,8,0,6,0.485,0,0,0.964,0.126,0.2,3,0.082,1,5,0.694,2,24.11,28.61,1,High
P1518,Government,Hybrid,Distributed,Managed Services,21.67,69,9,4.68,1,10,4,1,18,0.645,0,0,0.841,0.401,0.078,13,0.137,5,0,0.71,7,0.75,2.05,0,Low
P1843,Fintech,Hybrid,Distributed,Managed Services,12.14,394,17,6.25,4,16,13,1,13,0.586,0,0,0.96,0.369,0.105,12,0.0,1,5,0.314,10,26.06,18.42,1,High
P1860,Retail,Waterfall,Distributed,T&M,79.31,492,11,7.67,4,13,4,0,5,0.345,0,0,0.766,0.109,0.381,14,0.15,1,5,0.508,1,28.01,18.77,1,High
P1342,Healthcare,Agile,Co-located,Fixed Bid,27.38,453,19,4.46,1,10,5,1,7,0.77,7,223,0.692,0.149,0.358,13,0.204,4,0,0.413,6,10.92,9.87,0,Low
P1965,Government,Agile,Co-located,T&M,53.55,137,15,6.44,1,12,3,1,11,0.086,14,378,0.82,0.154,0.179,15,0.165,5,0,0.646,7,0.93,-4.81,0,Low
P1936,Retail,Agile,Distributed,Fixed Bid,72.88,357,14,6.72,2,9,5,0,20,0.395,14,245,0.809,0.407,0.4,6,0.152,3,3,0.944,4,9.18,-4.39,0,Low
P1588,Healthcare,Agile,Hybrid,T&M,12.4,291,15,5.9,3,15,1,0,16,0.316,14,141,0.856,0.179,0.099,12,0.111,4,0,0.576,0,0.0,6.74,0,Low
P1313,Telecom,Hybrid,Co-located,Fixed Bid,45.86,441,14,6.03,5,14,11,0,13,0.327,0,0,0.787,0.5,0.06,5,0.222,1,7,0.676,5,33.22,15.13,1,High
P1932,E-commerce,Hybrid,Hybrid,T&M,46.26,165,13,6.13,5,14,17,0,17,0.471,0,0,0.917,0.497,0.4,3,0.08,1,6,0.14,12,29.86,17.37,1,High
P1699,Retail,Agile,Distributed,Fixed Bid,35.04,117,9,3.6,5,19,9,1,17,0.16,7,367,0.728,0.035,0.304,14,0.078,1,7,0.741,10,31.49,18.47,1,High
P1424,Telecom,Agile,Hybrid,Fixed Bid,25.14,237,16,6.76,5,20,17,0,7,0.408,14,374,0.788,0.398,0.284,14,0.084,1,5,0.655,9,44.52,25.31,1,High
P1418,E-commerce,Waterfall,Distributed,T&M,61.65,389,12,4.95,2,8,7,0,6,0.279,0,0,0.977,0.04,0.4,12,0.175,3,4,0.403,8,13.15,10.1,0,Medium
P1815,Telecom,Agile,Distributed,Fixed Bid,27.61,447,13,5.74,2,16,3,1,15,0.535,7,223,0.639,0.278,0.304,2,0.198,4,3,0.67,14,5.49,-6.18,0,Low
P1535,Retail,Hybrid,Co-located,T&M,82.9,205,15,6.25,3,17,10,1,12,0.507,0,0,0.904,0.419,0.18,12,0.094,2,5,0.61,3,12.79,4.55,0,Medium
P1152,Fintech,Agile,Distributed,Fixed Bid,36.89,128,10,2.88,2,12,6,1,13,0.331,14,239,0.893,0.033,0.084,7,0.329,5,3,0.714,15,13.25,8.28,0,Low
P1298,Telecom,Waterfall,Co-located,Managed Services,26.42,342,12,3.38,3,12,9,0,19,0.503,0,0,0.967,0.171,0.116,5,0.0,4,3,0.165,14,7.51,6.31,0,Low
P1968,Fintech,Waterfall,Distributed,Managed Services,36.08,416,21,4.29,1,4,1,0,9,0.591,0,0,0.85,0.26,0.362,13,0.0,5,0,0.153,10,0.12,2.58,0,Low
P1124,Telecom,Agile,Distributed,Fixed Bid,17.34,337,13,4.29,5,16,16,0,12,0.322,14,190,0.8,0.285,0.06,3,0.0,1,9,0.816,20,30.67,30.4,1,High
P1947,Government,Hybrid,Co-located,Fixed Bid,73.12,181,16,5.79,3,16,9,0,14,0.353,0,0,1.01,0.395,0.012,4,0.0,2,2,0.645,8,16.35,4.09,0,Medium
P1817,Government,Agile,Co-located,Managed Services,28.26,256,15,6.32,5,13,13,0,10,0.194,7,169,0.837,0.366,0.029,8,0.165,1,8,0.761,8,17.39,19.56,1,High
P1716,Telecom,Hybrid,Co-located,Fixed Bid,33.12,280,12,2.29,2,11,7,1,7,0.102,0,0,1.065,0.372,0.4,13,0.178,4,5,0.704,0,26.41,20.13,1,High
P1920,Government,Hybrid,Distributed,T&M,78.85,440,20,2.71,3,11,6,0,9,0.117,0,0,0.977,0.365,0.4,11,0.072,3,7,0.809,16,18.31,18.56,1,High
P1659,E-commerce,Waterfall,Co-located,Fixed Bid,143.29,424,12,10.09,4,11,8,1,7,0.476,0,0,0.928,0.074,0.104,5,0.115,3,5,0.777,10,0.0,1.71,0,Low
P1265,Retail,Waterfall,Distributed,T&M,22.08,389,17,4.1,4,9,8,0,3,0.289,0,0,0.994,0.138,0.218,4,0.165,2,7,0.472,4,21.69,15.66,1,High
P1889,Retail,Agile,Co-located,T&M,27.64,386,12,5.97,2,12,7,0,12,0.515,14,206,0.922,0.048,0.296,4,0.083,3,4,0.536,22,9.0,5.71,0,Low
P1414,Telecom,Waterfall,Hybrid,T&M,19.1,330,14,5.17,2,8,7,1,10,0.49,0,0,1.1,0.072,0.013,0,0.24,4,2,0.626,9,5.31,-2.58,0,Low
P1303,Fintech,Waterfall,Hybrid,T&M,37.87,91,13,5.42,2,4,8,0,7,0.676,0,0,0.917,0.203,0.277,11,0.0,5,3,0.755,20,0.0,1.53,0,Low
P1302,Healthcare,Agile,Co-located,T&M,62.28,485,12,5.75,2,9,10,1,6,0.513,14,311,0.703,0.453,0.087,10,0.145,4,1,0.379,5,5.04,8.51,0,Low
P1323,E-commerce,Agile,Distributed,Fixed Bid,91.2,77,13,4.95,2,11,9,0,20,0.449,7,345,1.064,0.287,0.239,15,0.164,5,3,0.411,5,3.52,4.14,0,Low
P1233,Government,Agile,Hybrid,Fixed Bid,24.24,171,11,7.04,3,19,11,1,4,0.125,14,243,0.818,0.189,0.349,10,0.189,4,4,0.591,9,4.9,21.76,0,Low
P1329,Fintech,Agile,Co-located,Fixed Bid,20.92,350,16,2.53,1,13,5,1,15,0.42,7,193,0.726,0.445,0.014,8,0.198,5,1,0.217,6,14.67,6.65,0,Low
P1176,Telecom,Waterfall,Distributed,Managed Services,33.4,73,14,2.64,3,6,7,0,14,0.153,0,0,1.047,0.303,0.3,2,0.047,3,6,0.618,14,6.07,6.52,0,Low
P1668,Government,Agile,Co-located,Fixed Bid,60.12,384,14,3.61,1,13,7,1,19,0.088,14,267,0.699,0.209,0.4,3,0.197,4,1,0.67,16,2.57,14.13,0,Low
P1395,Fintech,Hybrid,Hybrid,Fixed Bid,19.98,215,12,2.45,3,12,10,0,15,0.675,0,0,0.763,0.214,0.293,5,0.174,4,4,0.562,8,10.7,9.18,0,Medium
P1170,Government,Waterfall,Co-located,T&M,26.41,165,18,4.07,2,7,10,0,11,0.751,0,0,1.038,0.273,0.4,3,0.148,4,1,0.362,10,0.38,1.35,0,Low
P1962,Telecom,Agile,Hybrid,T&M,77.18,477,10,4.42,2,10,9,0,15,0.37,7,192,0.835,0.277,0.208,7,0.299,5,4,0.673,1,12.81,3.99,0,Low
P1728,E-commerce,Agile,Distributed,Fixed Bid,52.25,501,15,2.23,3,12,9,0,19,0.139,7,173,1.142,0.231,0.051,0,0.206,2,9,0.651,6,31.93,13.46,1,High
P1609,Government,Waterfall,Co-located,Fixed Bid,161.91,458,18,3.99,3,5,13,0,3,0.438,0,0,1.003,0.446,0.032,14,0.038,3,7,0.495,7,34.33,15.29,1,High
P1752,Retail,Waterfall,Co-located,T&M,32.66,412,16,2.73,5,14,16,0,9,0.349,0,0,0.787,0.476,0.316,11,0.132,2,4,0.605,16,28.36,14.86,1,High
P1490,Government,Agile,Hybrid,T&M,16.93,424,14,7.5,3,16,6,0,11,0.175,14,340,0.872,0.216,0.052,11,0.185,4,5,0.957,14,8.86,-2.39,0,Low
P1180,Fintech,Agile,Co-located,T&M,75.36,423,12,4.31,2,8,10,0,3,0.307,7,292,1.06,0.175,0.109,8,0.0,5,4,0.421,6,11.31,-2.67,0,Low
P1014,Fintech,Agile,Hybrid,T&M,68.91,236,14,3.67,5,22,11,0,16,0.58,14,193,0.885,0.154,0.025,1,0.039,1,9,0.577,8,31.76,14.88,1,High
P1458,Retail,Agile,Distributed,T&M,69.01,537,15,8.48,5,12,9,0,20,0.872,7,249,0.842,0.216,0.248,7,0.062,1,5,0.661,12,22.2,19.17,1,High
P1285,E-commerce,Agile,Distributed,Fixed Bid,47.75,98,15,6.73,1,6,3,0,4,0.554,14,350,0.866,0.123,0.124,14,0.213,5,1,0.539,5,0.0,-10.0,0,Low
P1508,Government,Hybrid,Co-located,T&M,28.99,230,14,5.82,1,12,3,0,7,0.473,0,0,0.942,0.153,0.4,1,0.067,5,4,0.622,19,0.0,-3.34,0,Low
P1423,Retail,Agile,Distributed,T&M,78.54,425,12,1.38,1,17,6,1,9,0.293,7,212,0.806,0.312,0.131,5,0.073,5,1,0.609,8,19.29,15.49,0,Medium
P1956,Fintech,Agile,Co-located,T&M,67.36,221,26,3.8,5,20,10,0,13,0.21,14,300,0.885,0.218,0.4,10,0.075,1,6,0.275,12,31.46,25.53,1,High
P1718,Healthcare,Agile,Distributed,T&M,16.78,492,13,7.91,5,18,15,0,7,0.425,7,85,0.845,0.229,0.328,7,0.025,1,3,0.346,7,29.7,19.55,1,High
P1858,Healthcare,Waterfall,Distributed,T&M,15.8,380,19,2.73,2,9,13,0,16,0.274,0,0,0.825,0.5,0.326,10,0.024,4,6,0.568,11,27.36,11.78,1,High
P1912,E-commerce,Waterfall,Hybrid,Fixed Bid,19.86,253,10,6.06,4,11,9,0,3,0.3,0,0,0.803,0.346,0.225,6,0.0,3,8,0.621,3,18.84,1.69,1,Medium
P1876,Retail,Waterfall,Hybrid,T&M,39.37,86,14,5.97,3,9,7,1,17,0.242,0,0,0.993,0.341,0.106,11,0.275,4,4,0.735,7,6.38,8.6,0,Low
P1758,Retail,Hybrid,Co-located,Fixed Bid,26.41,286,13,6.29,4,10,7,1,4,0.57,0,0,0.958,0.438,0.4,13,0.049,1,8,0.714,11,29.62,15.75,1,High
P1432,Fintech,Waterfall,Hybrid,Managed Services,19.85,475,12,5.55,2,6,3,1,6,0.352,0,0,0.958,0.192,0.177,13,0.247,3,3,0.747,23,16.29,-0.56,0,Low
P1967,Telecom,Agile,Co-located,T&M,65.91,237,16,3.28,2,17,12,1,5,0.41,14,266,0.873,0.14,0.189,14,0.09,4,7,0.552,14,5.93,10.63,0,Medium
P1615,Telecom,Hybrid,Hybrid,Fixed Bid,47.34,473,15,7.37,5,18,9,0,9,0.549,0,0,0.853,0.345,0.367,1,0.085,1,8,0.765,2,24.13,20.92,1,High
P1634,Government,Agile,Distributed,Fixed Bid,42.06,402,13,6.16,2,14,6,0,13,0.308,14,276,0.632,0.185,0.264,6,0.16,3,4,0.897,6,0.91,6.69,0,Low
P1377,E-commerce,Agile,Co-located,T&M,93.78,64,17,5.32,5,22,13,0,7,0.568,14,89,1.053,0.192,0.104,2,0.06,2,6,0.498,8,11.24,7.87,1,High
P1286,Fintech,Agile,Distributed,T&M,24.99,531,20,4.96,3,14,12,0,13,0.258,7,169,1.02,0.228,0.207,11,0.226,4,4,0.819,0,13.86,14.97,1,Medium
P1445,Telecom,Hybrid,Distributed,T&M,71.66,504,11,7.68,1,13,4,0,8,0.114,0,0,0.911,0.163,0.18,11,0.096,4,0,0.567,15,4.15,-4.13,0,Low
P1717,E-commerce,Hybrid,Co-located,Fixed Bid,66.05,102,11,5.27,4,18,9,0,7,0.867,0,0,0.827,0.439,0.155,0,0.21,3,7,0.349,15,0.0,14.31,0,Low
P1970,E-commerce,Waterfall,Co-located,Fixed Bid,23.05,510,20,3.0,1,7,3,0,17,0.69,0,0,0.834,0.223,0.227,13,0.339,5,3,0.464,2,10.39,6.26,0,Low
P1111,Retail,Agile,Distributed,T&M,27.63,355,14,2.82,3,8,12,1,3,0.318,7,391,0.89,0.263,0.138,1,0.084,3,3,0.844,19,25.14,20.08,1,High
P1109,Telecom,Agile,Co-located,Fixed Bid,30.34,242,11,5.52,3,18,10,1,6,0.633,14,194,0.723,0.433,0.4,0,0.064,3,2,0.751,10,16.87,18.05,0,Medium
P1073,Telecom,Hybrid,Distributed,T&M,24.64,457,17,3.44,1,14,3,0,10,0.805,0,0,0.841,0.225,0.001,2,0.176,5,0,0.773,14,0.0,1.09,0,Low
P1060,E-commerce,Agile,Co-located,T&M,55.65,220,15,7.64,2,17,2,1,12,0.374,14,186,0.951,0.272,0.069,7,0.006,5,1,0.901,16,0.0,1.11,0,Low
P1048,Telecom,Agile,Co-located,T&M,25.0,193,14,2.32,3,18,12,0,17,0.822,14,242,0.852,0.21,0.119,15,0.0,2,6,0.624,17,26.32,23.13,1,High
P1100,Government,Agile,Distributed,T&M,36.21,313,12,2.75,4,13,7,0,15,0.63,14,142,0.55,0.156,0.05,5,0.247,3,6,0.237,13,20.7,17.56,1,High
P1610,Government,Agile,Distributed,Fixed Bid,19.33,86,13,2.52,1,22,2,0,6,0.322,14,188,0.903,0.269,0.3,0,0.09,5,2,0.668,14,0.0,7.49,0,Low
P1998,Telecom,Hybrid,Hybrid,Fixed Bid,30.39,264,16,3.65,2,21,7,0,10,0.545,0,0,0.855,0.381,0.1,13,0.117,3,6,0.452,12,10.76,13.39,0,Medium
P1289,Healthcare,Waterfall,Co-located,T&M,16.65,77,14,4.32,4,12,14,0,18,0.136,0,0,0.781,0.389,0.079,14,0.188,1,2,0.358,14,23.92,18.66,1,High
P1333,Government,Agile,Distributed,Fixed Bid,15.03,461,19,7.12,4,14,11,0,9,0.151,7,126,0.973,0.43,0.186,9,0.077,2,7,0.585,10,29.29,16.59,1,High
P1867,Retail,Agile,Co-located,Managed Services,23.03,155,16,6.68,5,20,16,0,16,0.47,14,338,1.083,0.192,0.18,7,0.11,1,8,0.667,19,24.12,16.72,1,High
P1025,Fintech,Waterfall,Co-located,T&M,29.97,415,14,3.77,2,4,6,0,19,0.284,0,0,0.976,0.126,0.184,6,0.208,3,2,0.378,0,17.01,7.4,0,Low
P1206,E-commerce,Agile,Hybrid,Fixed Bid,72.59,256,8,8.59,4,16,11,1,20,0.08,14,183,0.844,0.067,0.128,8,0.178,2,8,0.454,7,5.46,9.3,0,Medium
